,FishingMethod,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Combination,Combination,Combination,Combination,Diving,Diving,Diving,Diving,Line,Line,Line,Line,Net,Net,Net,Net,Other,Other,Other,Other,Pot,Pot,Pot,Pot,Licences,Days,Tonnes,DiscardNumber
CalendarYear,Licences,Days,Tonnes,DiscardNumber,Licences,Days,Tonnes,DiscardNumber,Licences,Days,Tonnes,DiscardNumber,Licences,Days,Tonnes,DiscardNumber,Licences,Days,Tonnes,DiscardNumber,Licences,Days,Tonnes,DiscardNumber,,,,
1992,,,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A
1993,,,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A
1994,,,,,,,,,45,1636,,,,,,,,,,,,,,,45,1636,,
1995,,,,,N/A,N/A,N/A,N/A,46,2458,,,,,,,,,,,,,,,46,2471,,
1996,,,,,13,86,,,166,8530,,,,,,,,,,,,,,,166,8616,,
1997,,,,,8,105,,,213,13592,,,,,,,,,,,,,,,213,13697,,
1998,,,,,11,45,,,292,15491,,,,,,,,,,,,,,,292,15536,,
1999,N/A,N/A,N/A,N/A,6,60,,,322,16620,,,,,,,,,,,,,,,322,16684,,
2000,8,37,,,13,84,,,306,17825,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,306,17961,,
2001,8,51,,,14,84,,,302,19772,,,,,,,21,61,,,,,,,304,19968,,
2002,7,55,,,12,65,,,347,22337,,,,,,,120,517,,,,,,,349,22974,,
2003,21,110,,,10,50,,,353,22890,0.03,86,,,,,176,1034,,,,,,,355,24084,0.03,86
2004,10,22,,,10,46,,,368,23420,,,,,,,148,806,,,,,,,372,24294,,
2005,10,60,,,8,33,,,352,23293,,,,,,,121,615,,,,,,,355,24001,,
2006,7,29,,,32,231,,,291,19311,,,,,,,48,95,,,N/A,N/A,N/A,N/A,292,19664,,
2007,N/A,N/A,N/A,N/A,12,94,,,261,17398,,,,,,,,,,,N/A,N/A,N/A,N/A,263,17528,,
2008,12,172,,,11,83,,,254,15693,,,,,,,,,,,N/A,N/A,N/A,N/A,255,15981,,
2009,20,265,,,11,64,,,236,15071,,,,,,,,,,,N/A,N/A,N/A,N/A,238,15404,,
2010,15,137,,,9,59,,,221,13851,,,,,,,,,,,N/A,N/A,N/A,N/A,221,14063,,
2011,9,45,,,15,121,,,188,12591,,,,,,,,,,,N/A,N/A,N/A,N/A,189,12816,,
2012,13,82,,,10,97,,,172,11485,,,,,,,,,,,,,,,172,11660,,
2013,13,154,,,7,121,,,159,10975,,,,,,,,,,,N/A,N/A,N/A,N/A,159,11313,,
2014,N/A,N/A,N/A,N/A,9,105,,,143,10257,,,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,143,10471,,
2015,N/A,N/A,N/A,N/A,12,134,,,135,8950,,,,,,,,,,,N/A,N/A,N/A,N/A,135,9135,,
2016,N/A,N/A,N/A,N/A,8,125,,,143,9970,,,,,,,,,,,N/A,N/A,N/A,N/A,143,10110,,
2017,13,112,,,6,69,,,156,11143,,,,,,,,,,,N/A,N/A,N/A,N/A,156,11351,,
2018,11,88,,,6,46,,,146,11575,,,,,,,,,,,N/A,N/A,N/A,N/A,146,11723,,
2019,6,77,,,6,39,,,142,11233,,,,,,,,,,,,,,,142,11346,,
2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,127,7070,,,,,,,,,,,,,,,127,7146,,
2021,6,31,,,N/A,N/A,N/A,N/A,116,9270,,,,,,,7,13,,,,,,,116,9358,,
2022,9,107,,,6,19,,,125,9967,,,,,,,7,7,,,,,,,125,10099,,
2023,10,136,,,8,40,,,130,10313,,,,,,,25,48,,,,,,,131,10527,,
2024 incomplete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102,3358,,,,,,,6,14,,,,,,,104,3447,,
Grand Total,96,1992,,,145,2212,,,1558,407432,0.03,86,N/A,N/A,N/A,N/A,381,3224,,,7,389,,,1563,415151,0.03,86
